race_id,nirenpuku_result,payout_nirenpuku_100
6120260115020002,3-5,310
6120260115020003,4-5,1430
8620260115020001,3-5,1170
8620260115020002,3-7,380
8620260115020003,2-7,220
8620260115020004,4-5,170
8620260115020005,2-7,1600
8620260115020006,2-3,160
8620260115020007,1-7,2320
2520260115030001,2-6,2080
2520260115030002,1-7,1410
2520260115030003,2-4,12490
2520260115030004,2-8,1430
2520260115030005,1-3,1700
2520260115030006,1-6,1790
2520260115030007,3-8,1930
2520260115030008,2-9,1340
2520260115030009,6-9,470
2520260115030010,5-9,1130
2520260115030011,5-7,21210
2520260115030012,1-2,450
3720260116020001,1-5,410
3720260116020002,2-4,14720
3720260116020003,2-5,1070
4420260115030001,4-7,310
4420260115030002,1-7,290
4420260115030003,3-7,210
4420260115030004,2-5,370
4420260115030005,3-5,200
4420260115030006,2-7,550
4420260115030007,3-7,200
4420260115030008,1-4,430
4420260115030009,3-6,740
4420260115030010,3-6,8470
4420260115030011,2-5,2730
4420260115030012,1-5,470
6120260115030001,5-6,470
6120260115030002,2-3,2130
6120260115030003,1-5,2750
6320260117010001,4-5,10430
6320260117010002,2-5,160
6320260117010003,3-5,110
6320260117010004,3-6,4610
6320260117010005,1-5,240
6320260117010006,3-5,130
6320260117010007,3-7,100
8620260115030001,2-6,1930
8620260115030002,5-6,640
8620260115030003,3-4,980
8620260115030004,3-7,2570
8620260115030005,3-4,1440
8620260115030006,3-4,5140
8620260115030007,3-4,900
2520260115040001,1-5,650
2520260115040002,1-2,1420
2520260115040003,3-6,4220
2520260115040004,4-5,2190
2520260115040005,1-9,350
2520260115040006,2-3,1200
2520260115040007,1-9,190
2520260115040008,1-2,750
2520260115040009,1-7,180
2520260115040010,1-4,890
2520260115040011,2-6,1330
2520260115040012,7-9,2630
3720260116030001,2-3,6600
3720260116030002,1-5,430
3720260116030003,2-7,160
6320260117020001,3-7,110
6320260117020002,1-2,860
6320260117020003,1-5,720
6320260117020004,1-2,2590
6320260117020005,1-7,490
6320260117020006,2-7,260
6320260117020007,1-4,370
8420260118010001,5-6,2700
8420260118010002,2-7,550
8420260118010003,2-5,360
2220260119010001,4-7,340
2220260119010002,4-7,4790
2220260119010003,4-7,2070
2820260119010001,2-7,190
2820260119010002,3-5,860
2820260119010003,2-4,14780
2820260119010004,4-7,150
2820260119010005,1-4,3120
2820260119010006,2-7,230
2820260119010007,3-6,190
2820260119010008,4-7,550
2820260119010009,1-5,1950
2820260119010010,3-5,1300
2820260119010011,2-7,1160
2820260119010012,3-6,820
4320260119010001,3-4,1360
4320260119010002,1-5,10440
4320260119010003,1-4,140
4320260119010004,2-7,130
4320260119010005,2-4,130
4320260119010006,1-4,110
4320260119010007,3-6,690
4320260119010008,1-4,390
4320260119010009,1-5,190
4320260119010010,3-7,280
4320260119010011,3-4,5490
6320260117030001,1-2,1760
6320260117030002,1-4,200
6320260117030003,2-3,1520
6320260117030004,2-5,1100
6320260117030005,2-5,260
6320260117030006,2-4,1050
6320260117030007,1-4,920
8420260118020001,5-6,3120
8420260118020002,2-3,1020
8420260118020003,2-7,5540
2220260119020001,2-4,660
2220260119020002,1-4,150
2820260119020001,2-7,300
2820260119020002,1-4,610
2820260119020003,1-6,4160
2820260119020004,2-3,910
2820260119020005,1-4,170
