race_id,settled,sanrentan_result,stake_total,payout_total,profit_total,hit_any,bankroll_after,drawdown
2120260707020002,True,5-4-6,300,0,-300,False,56200,0.438
2120260707020003,True,5-4-2,300,0,-300,False,55900,0.441
2120260707020004,True,1-4-6,300,0,-300,False,55600,0.444
2120260707020005,False,,0,0,0,False,55600,0.0
2120260707020006,False,,0,0,0,False,55600,0.0
2120260707020007,False,,0,0,0,False,55600,0.0
2120260707020008,False,,0,0,0,False,55600,0.0
2120260707020009,False,,0,0,0,False,55600,0.0
2220260225010001,True,4-6-7,300,0,-300,False,55300,0.447
2220260225010002,True,1-4-2,500,0,-500,False,54800,0.452
2220260225010003,True,2-5-1,0,0,0,False,54800,0.452
2220260225010004,False,,0,0,0,False,54800,0.0
2220260225010005,False,,0,0,0,False,54800,0.0
2220260225010006,False,,0,0,0,False,54800,0.0
2220260225010007,False,,0,0,0,False,54800,0.0
2220260225010008,False,,0,0,0,False,54800,0.0
2220260225010009,False,,0,0,0,False,54800,0.0
2220260225010010,False,,0,0,0,False,54800,0.0
2220260225010011,False,,0,0,0,False,54800,0.0
2220260225010012,False,,0,0,0,False,54800,0.0
2220260225020001,True,4-2-6,500,0,-500,False,54300,0.457
2220260225020002,True,2-7-3,200,0,-200,False,54100,0.459
2220260225020003,True,5-1-3,300,0,-300,False,53800,0.462
2220260225020004,False,,0,0,0,False,53800,0.0
2220260225020005,False,,0,0,0,False,53800,0.0
2220260225020006,False,,0,0,0,False,53800,0.0
2220260225020007,False,,0,0,0,False,53800,0.0
2220260225020008,False,,0,0,0,False,53800,0.0
2220260225020009,False,,0,0,0,False,53800,0.0
2220260225020010,False,,0,0,0,False,53800,0.0
2220260225020011,False,,0,0,0,False,53800,0.0
2220260225020012,False,,0,0,0,False,53800,0.0
2220260225030001,True,6-3-1,100,0,-100,False,53700,0.463
2220260225030002,True,4-2-6,200,0,-200,False,53500,0.465
2220260225030003,True,7-6-2,500,0,-500,False,53000,0.47
2220260225030004,False,,0,0,0,False,53000,0.0
2220260225030005,False,,0,0,0,False,53000,0.0
2220260225030006,False,,0,0,0,False,53000,0.0
2220260225030007,False,,0,0,0,False,53000,0.0
2220260225030008,False,,0,0,0,False,53000,0.0
2220260225030009,False,,0,0,0,False,53000,0.0
2220260225030010,False,,0,0,0,False,53000,0.0
2220260225030011,False,,0,0,0,False,53000,0.0
2220260225030012,False,,0,0,0,False,53000,0.0
2220260307010001,True,2-1-4,300,0,-300,False,52700,0.473
2220260307010002,True,7-1-5,400,0,-400,False,52300,0.477
2220260307010003,True,4-1-2,300,0,-300,False,52000,0.48
2220260307010004,True,7-1-2,400,0,-400,False,51600,0.484
2220260307010005,True,4-5-2,300,0,-300,False,51300,0.487
2220260307010006,True,5-1-3,300,0,-300,False,51000,0.49
2220260307010007,True,1-7-3,400,0,-400,False,50600,0.494
2220260307010008,True,2-5-3,300,0,-300,False,50300,0.497
2220260307010009,True,2-4-5,300,0,-300,False,50000,0.5
2220260307010010,True,1-5-3,300,0,-300,False,49700,0.503
2220260307010011,True,3-2-7,300,0,-300,False,49400,0.506
2220260307020001,True,3-5-1,200,0,-200,False,49200,0.508
2220260307020002,True,1-6-5,300,0,-300,False,48900,0.511
2220260307020003,True,5-2-4,300,0,-300,False,48600,0.514
2220260307020004,False,,0,0,0,False,48600,0.0
2220260307020005,False,,0,0,0,False,48600,0.0
2220260307020006,False,,0,0,0,False,48600,0.0
2220260307020007,False,,0,0,0,False,48600,0.0
2220260307020008,False,,0,0,0,False,48600,0.0
