race_id,競輪場,レース番号,開始時間,best_bet_distortion,best_odds_distortion,best_p_distortion,best_EV_distortion,market_prob,distortion_ratio,distortion_log,distortion_z,rank_gap,distortion_score
4320260307010006,岐阜競輪,6R,22:30,2-7,133.4,0.0510709791923846,5.812868624264111,0.005550761204544398,9.200716316416594,2.21928134152367,1.3699758858225917,8.0,0.759899745194161
4520260304030004,豊橋競輪,4R,09:52,4-6,79.4,0.0667889399742088,4.3030418339521805,0.009373626006004885,7.125197860923575,1.9636374957382947,1.4481822235678024,10.0,0.7587078080899906
7520260305020008,松山競輪,8R,14:16,3-4,241.8,0.0281222795247812,5.799967189092113,0.003084107818280923,9.118448891108505,2.210299711927611,1.473107882981286,14.0,0.7586086952650316
4420260228010012,大垣競輪,12R,16:20,5-6,110.0,0.0289805194558354,2.1878571401418947,0.006796599787792947,4.263973215492543,1.4502014053334196,1.5187843943675061,18.0,0.7528979814192018
7520260305020002,松山競輪,2R,11:40,1-4,106.5,0.0422068469575472,3.495029200978779,0.007011072761592217,6.020026946909331,1.79509173556519,1.4480199033377554,15.0,0.7527719389007193
2820260307010002,立川競輪,2R,09:10,5-6,221.5,0.0359726462393641,6.967941142019162,0.003359344347136095,10.708234259855866,2.371013002534377,1.4370473779426556,6.0,0.7508632906318731
3120260304010003,松戸競輪,3R,21:45,4-5,30.7,0.056608832145898,0.7378911468790714,0.023963274532587127,2.3623162212891478,0.8596425874471126,1.4208757787565642,1.0,0.7492319470317372
3720260304020007,伊東競輪,7R,18:12,1-2,239.6,0.0387418269436901,8.28254173570817,0.0030787450037074358,12.583642648044385,2.532397768052161,1.3832080188302163,7.0,0.7478198728138494
7520260305030006,松山競輪,6R,13:22,4-8,329.3,0.0189002521172391,5.223853022206867,0.0022639518100485553,8.348345589778873,2.122063386324131,1.5607420443241342,12.0,0.7454959225064742
4420260228040003,大垣競輪,3R,11:59,2-8,153.7,0.0207407307119355,2.187850310424496,0.004841722303977069,4.2837505758260805,1.4548289286759153,1.5091565709124675,3.0,0.7413296763719215
2420260304020002,宇都宮競輪,2R,21:13,2-5,19.5,0.0761225256143157,0.4843892494791579,0.03841584158415841,1.9815399708365342,0.6838743054673908,1.4167619852489193,5.0,0.7394387862848774
4420260228010006,大垣競輪,6R,13:28,1-6,176.6,0.0375141006012261,5.62499016617654,0.00422815017883715,8.872461716265475,2.1829522906801757,1.4375074456466619,17.0,0.7389914786280812
2420260304030006,宇都宮競輪,6R,22:54,1-4,20.2,0.0693086012900846,0.4000337460597101,0.03662428713441113,1.8924218520303104,0.63785741198023,1.4328152721629535,1.0,0.736835870537284
2620260304010006,西武園競輪,6R,13:20,3-7,88.1,0.0747438106455696,5.584929717874684,0.008489221307357742,8.804554379090508,2.175269130696778,1.3818598917618257,12.0,0.7356769599468106
8320260301030008,久留米競輪,8R,18:43,1-3,43.3,0.0838548639036375,2.630915607027504,0.017158617197736325,4.887040892188745,1.5865869858091843,1.3743026456274856,10.0,0.7347108728050683
3120260304020004,松戸競輪,4R,22:09,1-6,28.5,0.0698327067011679,0.9902321409832876,0.025897556146110154,2.696497936117434,0.9919538704160452,1.3560648654822602,6.0,0.7312527674765438
2420260304010005,宇都宮競輪,5R,22:27,2-6,48.0,0.0384761048996996,0.846853035185583,0.015562602771905099,2.472343827132021,0.9051666185951452,1.5678277895898762,6.0,0.7244962748294841
3720260304030003,伊東競輪,3R,16:46,5-6,190.1,0.0550374455104875,9.462618391543687,0.003911541988635937,14.070524017463008,2.6440821140517237,1.3037949715793082,8.0,0.7232869752463817
8320260307010007,久留米競輪,7R,22:40,6-7,230.7,0.0290496046624593,5.70174379562936,0.0032451518809144524,8.951693393568288,2.1918427204092765,1.4197709872092832,6.0,0.7218884476387974
2720260301030008,京王閣競輪,8R,18:56,1-4,274.2,0.0390804487596072,9.715859049884305,0.0027209868875279013,14.3626009093893,2.6646276690688566,1.363001042480072,5.0,0.7217552312294824
4520260304030007,豊橋競輪,7R,10:55,1-5,88.3,0.0367041682323297,2.240978054914719,0.008377000169842216,4.38154082413484,1.4774004488854509,1.3966258041608053,6.0,0.7184664325561536
7520260305020001,松山競輪,1R,11:16,1-4,143.6,0.0333235545255002,3.785262429861836,0.005159529605383721,6.458641982453211,1.8654190762908294,1.4632239067185808,8.0,0.717469372326528
2820260307010005,立川競輪,5R,10:13,5-6,316.1,0.0349438593487951,10.04575394015414,0.0022600918892554537,15.461256022136986,2.7383372832343373,1.3827669134761724,5.0,0.716188857026834
2720260301030009,京王閣競輪,9R,19:22,4-7,107.3,0.0313931682722315,2.3684869556104435,0.006911436572309421,4.542205942172081,1.5134127844248937,1.479277017564222,3.0,0.7141697777261599
3820260301030003,静岡競輪,3R,21:29,1-6,34.6,0.0965689547135179,2.3412858330877224,0.021549015671268674,4.481362684133737,1.4999271707523274,1.2351916954107713,6.0,0.7133270296095156
8320260307010006,久留米競輪,6R,22:20,5-7,458.7,0.023448446740328,9.755802519788457,0.0016117185451434664,14.548723036311545,2.677503225981293,1.4787479156733563,2.0,0.7112973816687161
5620260301030003,岸和田競輪,3R,21:37,1-7,44.0,0.0481618655340027,1.1191220834961224,0.01686683254149919,2.8554184914476224,1.0492184143297787,1.470668690068691,6.0,0.7078301591350487
8320260307020006,久留米競輪,6R,22:20,1-4,29.2,0.0825588499838091,1.4107184195272269,0.025076633305019018,3.292262122124381,1.191574903631715,1.1734045536660462,6.0,0.7050442292259944
8120260306020012,小倉競輪,12R,20:30,3-6,207.5,0.0280075492787158,4.811566475333535,0.0035630136322959013,7.860634889799151,2.0618673779983197,1.4434339622476855,4.0,0.7050435481167626
