EV_MIN,odds_min,odds_max,ratio_min,rank_gap_min,bets,hits,hit_rate,stake,payout,ROI,mean_EV,mean_p,mean_odds
5,80,300,2.0,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.3171921187440185,0.047354994796372014,188.42045454545453
5,80,300,3.0,3,88,1,0.011363636363636364,8800,14550,1.6534090909090908,7.3171921187440185,0.047354994796372014,188.42045454545453
5,0,300,1.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,0,300,1.5,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,0,300,2.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,0,300,3.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,20,300,1.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,20,300,1.5,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,20,300,2.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,20,300,3.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,50,300,1.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,50,300,1.5,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,50,300,2.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,50,300,3.0,3,89,1,0.011235955056179775,8900,14550,1.6348314606741574,7.294716226496789,0.0477519175721673,187.16179775280895
5,80,300,5.0,0,90,1,0.011111111111111112,9000,14550,1.6166666666666667,7.209558911610516,0.046768426027814274,188.62000000000003
0,80,200,1.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
0,80,200,1.5,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
0,80,200,2.0,8,91,1,0.01098901098901099,9100,14550,1.598901098901099,4.9286806786162565,0.04801374840162762,127.05494505494505
